X,Y,Z,azimuth,dip,polarity,formation
1145328,1166778,1500,29,18,1,D
1145909,1166603,1000,191,34,1,Fault1
1147267,1166139,800,29,5,1,K
1153062,1164327,500,209,26,1,K
1145909,1166603,2500,29,18,1,P
1148510,1165721,2000,29,12,1,T
1149857,1165326,1750,29,0,1,T
1151425,1164838,2000,209,25,1,T
1153283,1164281,3000,209,30,1,T
1154711,1163805,3000,29,50,1,T
1156465,1163259,2500,29,22,1,T
1148510,1165721,3010,29,10,1,K
1146605,1166332,3500,29,10,1,K
1146605,1166332,1500,191,34,1,Fault1
1147267,1166139,2000,191,34,1,Fault1
1148510,1165721,3000,191,34,1,Fault1
1154711,1163805,3150,29,50,1,T1
1154711,1163805,3300,29,50,1,T2
1154711,1163805,3450,29,50,1,T3
1154711,1163805,3600,29,50,1,T4
1154711,1163805,3750,29,50,1,T5
1151425,1164838,2150,209,25,1,T1
1151425,1164838,2300,209,25,1,T2
1151425,1164838,2450,209,25,1,T3
1151425,1164838,2600,209,25,1,T4
1151425,1164838,2750,209,25,1,T5
1147267,1166139,1000,29,5,1,K1
1147267,1166139,1200,29,5,1,K2
1147267,1166139,1400,29,5,1,K3
1147267,1166139,1600,29,5,1,K4
1147267,1166139,1800,29,5,1,K5
1153062,1164327,700,209,26,1,K1
1153062,1164327,900,209,26,1,K2
1153062,1164327,1100,209,26,1,K3
1153062,1164327,1300,209,26,1,K4
1153062,1164327,1500,209,26,1,K5
